GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000002578.17	3027	3157	2194	3139	2417	2829
ENSMUSG00000002580.7	3514	4136	2933	4225	3215	3519
ENSMUSG00000002588.13	0	0	0	0	0	2
ENSMUSG00000002602.16	1905	1992	1942	2287	689	906
ENSMUSG00000002603.15	79	160	220	312	63	86
ENSMUSG00000002608.8	5089	6528	4991	7149	4644	5280
ENSMUSG00000002617.14	2420	2619	2411	3166	1950	2000
ENSMUSG00000002625.9	7856	9871	7911	11319	6656	7110
ENSMUSG00000002633.4	80	84	88	112	67	70
ENSMUSG00000002635.11	1803	2379	1680	2385	1541	1756
ENSMUSG00000002658.9	5475	6450	5474	7314	4466	5111
ENSMUSG00000002660.7	3273	4049	2961	4175	2519	3103
ENSMUSG00000002661.14	847	1163	834	1113	834	899
ENSMUSG00000002664.2	2	11	7	9	6	12
