	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000002459.17	70	70	120	501	464	450
ENSMUSG00000002475.15	175	208	141	45	137	53
ENSMUSG00000002477.4	19808	13560	15111	8908	8315	7106
ENSMUSG00000002486.15	1933	1429	1457	1882	1962	1660
ENSMUSG00000002489.16	2048	1618	1500	4744	3405	3374
ENSMUSG00000002496.10	5958	5209	4666	11120	10547	9073
ENSMUSG00000002500.15	52	87	7	10	6	5
ENSMUSG00000002504.14	1924	933	1813	637	570	426
ENSMUSG00000002524.17	17493	13700	13424	13679	14668	13267
ENSMUSG00000002546.16	4722	3727	4097	7530	7160	6109
ENSMUSG00000002550.16	4055	3085	3484	3079	2891	2847
ENSMUSG00000002565.16	29	27	53	2	4	0
ENSMUSG00000002578.17	1348	377	1736	3027	2194	2417
ENSMUSG00000002580.7	5203	3626	4142	3514	2933	3215
ENSMUSG00000002588.13	2	0	0	0	0	0
ENSMUSG00000002602.16	6410	1655	7420	1905	1942	689
ENSMUSG00000002603.15	1769	902	2104	79	220	63
ENSMUSG00000002608.8	4369	2727	3926	5089	4991	4644
ENSMUSG00000002617.14	799	647	801	2420	2411	1950
ENSMUSG00000002625.9	5771	5053	5010	7856	7911	6656
ENSMUSG00000002633.4	2	0	0	80	88	67
ENSMUSG00000002635.11	3731	3265	2829	1803	1680	1541
ENSMUSG00000002658.9	6385	4623	4904	5475	5474	4466
ENSMUSG00000002660.7	4557	3903	2879	3273	2961	2519
ENSMUSG00000002661.14	1627	1483	1025	847	834	834
ENSMUSG00000002664.2	1	0	5	2	7	6
